dt,bat_v,dht_h,dht_t,ref_v,therm_v,out_v,in_v
20251223T221114,7.601, 20.0, 34.0,2.468,2.727,2.473,2.478
20251223T221115,7.768, 20.0, 34.0,2.468,2.727,2.473,2.478
20251223T221117,7.654, 20.0, 34.0,2.468,2.727,2.473,2.478
20251223T221118,7.610, 20.0, 35.0,2.468,2.727,2.473,2.478
20251223T221120,7.698, 20.0, 34.0,2.468,2.727,2.473,2.478
20251223T221122,7.698, 20.0, 34.0,2.468,2.727,2.473,2.478
20251223T221123,7.663, 20.0, 35.0,2.468,2.727,2.473,2.478
20251223T221125,7.707, 20.0, 34.0,2.468,2.727,2.473,2.478
20251223T221126,7.830, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221128,7.531, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221130,7.760, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221131,7.645, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221133,7.636, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221134,7.777, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221136,7.663, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221138,7.522, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221139,7.786, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221141,7.557, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221142,7.733, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221144,7.733, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221146,7.628, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221147,7.487, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221149,7.680, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221150,7.804, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221152,7.540, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221154,7.768, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221155,7.768, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221157,7.760, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221158,7.610, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221200,7.557, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221202,7.742, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221203,7.707, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221205,7.601, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221206,7.531, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221208,7.540, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221210,7.733, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221211,7.663, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221213,7.566, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221214,7.672, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221216,7.619, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221218,7.804, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221219,7.663, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221221,7.575, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221222,7.733, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221224,7.531, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221226,7.628, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221227,7.760, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221229,7.672, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221230,7.804, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221232,7.786, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221234,7.716, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221235,7.557, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221237,7.513, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221238,7.531, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221240,7.795, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221242,7.452, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221243,7.672, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221245,7.522, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221246,7.575, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221248,7.645, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221250,7.610, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221251,7.733, 20.0, 34.0,2.468,2.732,2.473,2.478
20251223T221253,7.663, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221254,7.698, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221256,7.724, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221258,7.628, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221259,7.724, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221301,7.742, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221302,7.654, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221304,7.689, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221306,7.680, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221307,7.566, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221309,7.566, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221310,7.680, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221312,7.548, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221314,7.680, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221315,7.584, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221317,7.469, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221318,7.443, 20.0, 33.0,2.468,2.732,2.473,2.478
20251223T221320,7.707, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221322,7.751, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221323,7.522, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221325,7.821, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221326,7.469, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221328,7.487, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221330,7.531, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221331,7.548, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221333,7.619, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221334,7.636, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221336,7.469, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221338,7.584, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221339,7.628, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221341,7.795, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221342,7.672, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221344,7.540, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221346,7.487, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221347,7.645, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221349,7.724, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221350,7.513, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221352,7.698, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221354,7.760, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221355,7.584, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221357,7.443, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221358,7.460, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221400,7.680, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221402,7.513, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221403,7.487, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221405,7.804, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221406,7.724, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221408,7.698, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221410,7.672, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221411,7.654, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221413,7.645, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221414,7.566, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221416,7.707, 20.0, 33.0,2.468,2.737,2.473,2.478
